Time,Section,Velocity
1323,390,-2.808
1323,391,-3.192
1323,392,-2.088
1323,399,2.532
1324,337,0.3
1324,338,-0.288
1324,339,0.276
1324,362,9.9
1324,363,8.76
1324,364,10.08
1324,365,-5.772
1324,366,6.18
1324,367,5.592
1324,369,9.864
1324,370,10.788
1324,371,4.392
1324,372,5.592
1324,373,5.592
1324,390,-2.736
1324,391,-3.06
1324,392,-2.076
1324,399,2.532
1325,337,0.3
1325,338,-0.288
1325,339,0.276
1325,362,9.876
1325,363,8.688
1325,364,10.128
1325,365,-5.544
1325,366,6.18
1325,367,5.592
1325,369,9.684
1325,370,10.668
1325,371,4.392
1325,372,5.592
1325,373,5.592
1325,390,-2.676
1325,391,-2.94
1325,392,-2.076
1325,399,2.532
1326,337,0.3
1326,338,-0.288
1326,339,0.276
1326,362,9.888
1326,363,8.616
1326,364,10.164
1326,365,-5.328
1326,366,6.18
1326,367,5.592
1326,369,9.516
1326,370,10.56
1326,371,4.392
1326,372,5.592
1326,373,5.592
1326,390,-2.628
1326,391,-2.832
1326,392,-2.064
